name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Toko Bangunan Fajar Mas,"Jl. Pinang No. 27 Jati, RT.4/RW.8, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",,0819-1002-0011,24.0,4.4,-6.1979859,106.7440629
Toko Bangunan Fajar Mas,"Jl. Pinang No. 27 Jati, RT.4/RW.8, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",,0819-1002-0011,24.0,4.4,-6.1979859,106.7440629
Toko Bangunan Sumber Urip,"Nomor #80 Bidaracina Jalan Otista Raya, Jl. Otista Raya, RT.1/RW.5, Cipinang Cempedak, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13340",,(021) 8190483,2.0,5.0,-6.1979859,106.7440629
Toko Bangunan Lancar,"Jl. Muara Bahari No.37B, RT.8/RW.1, Sunter Agung, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350",,(021) 6405966,80.0,4.7,-6.1979859,106.7440629
Jaya Baru,"Jl. Kerja Bakti No.7, RT.7/RW.4, Makasar, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13570",,(021) 8008122,3.0,4.0,-6.1979859,106.7440629
Toko Bangunan Sinar Rejeki 44,"Jalan Letjend Suprapto No 44 RT 019. RW 007 Kelurahan :, Sumur Batu, Kecamatan : Kemayoran, Daerah Khusus Ibukota Jakarta 10640",tokopedia.com,(021) 4244104,33.0,4.5,-6.1979859,106.7440629
Tb. Berkah Jaya,"Jl. Tomang Asli No.3 7, RT.7/RW.2, Jatipulo, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11430",,(021) 5688590,99.0,4.5,-6.1780113,106.660161
TB Bina Usaha III,"Jl. Harsono RM No.74 8, RT.8/RW.4, Ragunan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12550",,(021) 7828355,45.0,4.5,-6.3026184,106.676698
Toko Bangunan Sederhana,"Jalan. Lantai Jl. Guntur No.2 8, RT.8/RW.1, Ps. Manggis, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12970",,0821-8349-5280,9.0,4.9,-6.3026184,106.676698
Roda Selatan Benhil,"Jl. Bendungan Hilir No.68, RT.5/RW.1, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",rodaselatan.com,0818-811-622,156.0,4.5,-6.3026184,106.676698
Inti Bangunan,"5, Jl. Sunter Permai Raya No.12B, RT.5/RW.18, Sunter Agung, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350",,(021) 65306035,121.0,4.7,-6.1335615,106.720767
TB BAROKAH,"Jl. Inerbang III No.6 2, RT.2/RW.3, Kp. Tengah, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13540",,(021) 8094428,16.0,4.4,-6.2817645,106.7209522
